scheme	model	macro_f1_mean	macro_f1_std	macro_f1_count	balanced_accuracy_mean	balanced_accuracy_std	balanced_accuracy_count	mcc_mean	mcc_std	mcc_count	quadratic_kappa_mean	quadratic_kappa_std	quadratic_kappa_count	macro_precision_mean	macro_precision_std	macro_precision_count	macro_recall_mean	macro_recall_std	macro_recall_count	roc_auc_mean	roc_auc_std	roc_auc_count	average_precision_mean	average_precision_std	average_precision_count	macro_f1_sem	balanced_accuracy_sem	mcc_sem	quadratic_kappa_sem	macro_precision_sem	macro_recall_sem	roc_auc_sem	average_precision_sem
3class	extra_trees	0.6355407628289607	0.026597801496928992	25	0.7759214846149581	0.038983586461743026	25	0.39766751466055256	0.026442719618774493	25	0.5373048438800063	0.0336230100223647	25	0.5933599198542548	0.028115606591188384	25	0.7759214846149581	0.038983586461743026	25	0.9691778569356522	0.003521453772138413	25	0.6296256859929606	0.031866576071401344	25	0.005319560299385798	0.007796717292348605	0.005288543923754899	0.006724602004472941	0.005623121318237677	0.007796717292348605	0.0007042907544276826	0.006373315214280269
3class	hist_gradient_boosting	0.6296759812898121	0.03258798818522018	25	0.703621284566176	0.044674654700269746	25	0.40836940297841656	0.04809051799841991	25	0.5923270802401173	0.0490031158812809	25	0.5934805515391449	0.03578351664462872	25	0.703621284566176	0.044674654700269746	25	0.9669045307505811	0.009579043323779374	25	0.6236047892333483	0.03137640714231881	25	0.0065175976370440356	0.008934930940053949	0.009618103599683982	0.009800623176256181	0.007156703328925744	0.008934930940053949	0.0019158086647558747	0.0062752814284637625
3class	k_nearest_neighbors	0.5844575401695693	0.03472560157576209	25	0.5665239110971513	0.03937281532646645	25	0.47228690583067295	0.056304474130770964	25	0.6605450090933238	0.06681246062470296	25	0.6310935466694878	0.05580961976052994	25	0.5665239110971513	0.03937281532646645	25	0.8272022288716085	0.025614621051423137	25	0.5891084250872385	0.04064419072790965	25	0.006945120315152419	0.00787456306529329	0.011260894826154192	0.013362492124940593	0.011161923952105988	0.00787456306529329	0.0051229242102846274	0.008128838145581931
3class	logistic_regression	0.5357309639941917	0.01940377065805298	25	0.865074635674588	0.03260747938132576	25	0.3502994907898461	0.018967850916821166	25	0.3517455471851953	0.025547396732593295	25	0.48471686445067697	0.01787412476354626	25	0.865074635674588	0.03260747938132576	25	0.9647449718165788	0.004182175194487778	25	0.5955570382006914	0.037677932319596645	25	0.0038807541316105963	0.006521495876265151	0.003793570183364233	0.005109479346518659	0.0035748249527092517	0.006521495876265151	0.0008364350388975556	0.007535586463919329
3class	svm_rbf	0.5237403800089823	0.04215376772569446	25	0.49633411387967735	0.04846597126071277	25	0.4180694811501953	0.06906632489548294	25	0.5236188610133776	0.10218509708237608	25	0.5759475298606609	0.03871291872780001	25	0.49633411387967735	0.04846597126071277	25	0.9615077764394481	0.009065322005128376	25	0.5993907137756739	0.03990352809638762	25	0.008430753545138892	0.009693194252142554	0.013813264979096587	0.020437019416475216	0.007742583745560002	0.009693194252142554	0.0018130644010256752	0.007980705619277524
3class	prior_baseline	0.33133135615605697	0.00872178779191165	25	0.33221906150377783	0.008132960659192529	25	0.001711975409228697	0.02124686585283029	25	0.001354177726889758	0.024936207475669263	25	0.3305094891292185	0.009405546129467356	25	0.33221906150377783	0.008132960659192529	25	0.5001267048243975	0.007471090914470807	25	0.3335907159069657	0.0006444177465696405	25	0.0017443575583823302	0.0016265921318385057	0.004249373170566058	0.004987241495133852	0.0018811092258934712	0.0016265921318385057	0.0014942181828941615	0.0001288835493139281
4class	random_forest	0.5127114554999972	0.03193589266609683	25	0.6690473590024169	0.05554491901759333	25	0.39373464907405537	0.03621827307593687	25	0.6103814900644433	0.039544189917380644	25	0.47611293126840404	0.031143078879810587	25	0.6690473590024169	0.05554491901759333	25	0.9699663830592116	0.005651678784624815	25	0.5087342156630487	0.0297560542461688	25	0.0063871785332193665	0.011108983803518666	0.007243654615187374	0.007908837983476129	0.006228615775962117	0.011108983803518666	0.001130335756924963	0.00595121084923376
4class	extra_trees	0.5073114052203135	0.04435086047522901	25	0.5320720122943166	0.057829935829923684	25	0.4265113953098079	0.054279480301013476	25	0.6869284097295524	0.05643719619615422	25	0.49247105798705604	0.041055339418867944	25	0.5320720122943166	0.057829935829923684	25	0.96738961175762	0.005192182300330753	25	0.5049828110014161	0.030963946129001243	25	0.008870172095045802	0.011565987165984736	0.010855896060202696	0.011287439239230843	0.008211067883773588	0.011565987165984736	0.0010384364600661508	0.006192789225800249
4class	hist_gradient_boosting	0.49214633176560824	0.040736623857631736	25	0.5055336978609231	0.04506528809843873	25	0.44461862650587775	0.05929366446492289	25	0.6886264849783243	0.06345754597031499	25	0.48584370117018344	0.042996954307585086	25	0.5055336978609231	0.04506528809843873	25	0.9449845702621148	0.021130303766411777	25	0.4975147577767507	0.02848545929511176	25	0.008147324771526347	0.009013057619687747	0.011858732892984577	0.012691509194062997	0.008599390861517018	0.009013057619687747	0.004226060753282355	0.005697091859022352
4class	ordinal_forest	0.48225684199205515	0.025658384127342414	25	0.5697323209388363	0.046080483945240384	25	0.3592326418803832	0.03852397043104738	25	0.5903338786406946	0.055806526840560276	25	0.46031191445021774	0.024580423910243447	25	0.5697323209388363	0.046080483945240384	25	0.9656994339547772	0.006155102761017302	25	0.49346496991127414	0.024682432147380345	25	0.005131676825468483	0.009216096789048077	0.007704794086209476	0.011161305368112055	0.004916084782048689	0.009216096789048077	0.0012310205522034605	0.004936486429476069
