macro_f1	balanced_accuracy	mcc	quadratic_kappa	macro_precision	macro_recall	recall_class0	recall_class1	roc_auc	average_precision	repeat	fold	n_test	scheme	model	recall_class2	recall_class3
0.6036122192984938	0.7494636397227098	0.39303181519123725	0.5073539075981193	0.5498143945248418	0.7494636397227098	0.9488740109555691	0.5217391304347826	0.9680629211938845	0.6024776923193413	4	2	1684	3class	ordinal_forest	0.7777777777777778	
0.6475790460189836	0.7641481256058249	0.408335784790597	0.5538970672144243	0.6334844908417309	0.7641481256058249	0.9452221545952526	0.625	0.9660117213993177	0.5946110609426012	4	3	1685	3class	ordinal_forest	0.7222222222222222	
0.6590857625340384	0.7954124773151753	0.4515633231226209	0.566999050114491	0.6246882070001331	0.7954124773151753	0.9537431527693244	0.6956521739130435	0.9752627735028306	0.6743066998281387	4	4	1685	3class	ordinal_forest	0.7368421052631579	
0.35767441860465116	0.35684438802496565	0.04310372414030788	0.009025769050733934	0.358816425120773	0.35684438802496565	0.9835766423357665	0.08695652173913043	0.5171807344590118	0.33609249710395006	0	0	1685	3class	prior_baseline	0.0	
0.34217054263565894	0.34235163440177724	0.028368529338843325	0.022508411648683113	0.3421497584541063	0.34235163440177724	0.9835766423357665	0.043478260869565216	0.5098340768612163	0.3341164079971682	0	1	1685	3class	prior_baseline	0.0	
0.32646048109965636	0.32765266788395214	-0.0011112753798226702	0.009015212169735776	0.3252769385699899	0.32765266788395214	0.9829580036518564	0.0	0.49831752458278206	0.3333915274154004	0	2	1684	3class	prior_baseline	0.0	
0.34151303884556383	0.34154155677284104	0.013049888799476089	-0.004730481793608021	0.34174718196457327	0.34154155677284104	0.9829580036518564	0.041666666666666664	0.5052660636130827	0.333884790419839	0	3	1685	3class	prior_baseline	0.0	
0.32615944225522886	0.3274497869750456	-0.01597905675743571	-0.018071326387020914	0.3248792270531401	0.3274497869750456	0.9823493609251369	0.0	0.4941522509527713	0.3331904005789448	0	4	1685	3class	prior_baseline	0.0	
0.32615944225522886	0.3274497869750456	-0.01597905675743571	-0.018071326387020914	0.3248792270531401	0.3274497869750456	0.9823493609251369	0.0	0.4941522509527713	0.3331904005789448	1	0	1685	3class	prior_baseline	0.0	
0.32626262626262625	0.32745336577453366	-0.015837055065550328	-0.017939516145164536	0.3250805152979066	0.32745336577453366	0.982360097323601	0.0	0.4941545804605801	0.3331938022148017	1	1	1685	3class	prior_baseline	0.0	
0.32626262626262625	0.32745336577453366	-0.015837055065550328	-0.017939516145164536	0.3250805152979066	0.32745336577453366	0.982360097323601	0.0	0.4941545804605801	0.3331938022148017	1	2	1685	3class	prior_baseline	0.0	
0.3263615236940487	0.32765266788395214	-0.0015124043310651095	0.008665924630306798	0.3250805152979066	0.32765266788395214	0.9829580036518564	0.0	0.49822127800869437	0.33338816991209086	1	3	1685	3class	prior_baseline	0.0	
0.3419643570686486	0.3421454215071405	0.013624061152629114	-0.004467574059247248	0.3419436052366566	0.3421454215071405	0.9829580036518564	0.043478260869565216	0.5056642425543201	0.33391822368721696	1	4	1684	3class	prior_baseline	0.0	
0.34257458303969934	0.34275714940583235	0.05783891894177243	0.07643898204047994	0.3425523349436393	0.34275714940583235	0.9847931873479319	0.043478260869565216	0.5181669156640568	0.3345131795399123	2	0	1685	3class	prior_baseline	0.0	
0.32666666666666666	0.3278588807785888	0.013633334537378774	0.03599105424663229	0.3254830917874396	0.3278588807785888	0.9835766423357665	0.0	0.5024874192634207	0.3335895942527051	2	1	1685	3class	prior_baseline	0.0	
0.32625833838690116	0.3274497869750456	-0.015846611912274454	-0.017950360288230494	0.32507552870090634	0.3274497869750456	0.9823493609251369	0.0	0.4941510434779223	0.3331936365257348	2	2	1684	3class	prior_baseline	0.0	
0.32615944225522886	0.3274497869750456	-0.016074697461606308	-0.01812688821752273	0.3248792270531401	0.3274497869750456	0.9823493609251369	0.0	0.49415158358598715	0.3331904005789448	2	3	1685	3class	prior_baseline	0.0	
0.34206748110186075	0.342348302416047	0.027706249845505078	0.021337886247315252	0.34194847020933977	0.342348302416047	0.9835666463785758	0.043478260869565216	0.5096382973959813	0.33411299801495226	2	4	1685	3class	prior_baseline	0.0	
0.32615944225522886	0.3274497869750456	-0.01597905675743571	-0.018071326387020914	0.3248792270531401	0.3274497869750456	0.9823493609251369	0.0	0.4941522509527713	0.3331904005789448	3	0	1685	3class	prior_baseline	0.0	
0.32626262626262625	0.32745336577453366	-0.015837055065550328	-0.017939516145164536	0.3250805152979066	0.32745336577453366	0.982360097323601	0.0	0.4941545804605801	0.3331938022148017	3	1	1685	3class	prior_baseline	0.0	
0.32626262626262625	0.32745336577453366	-0.015837055065550328	-0.017939516145164536	0.3250805152979066	0.32745336577453366	0.982360097323601	0.0	0.4941545804605801	0.3331938022148017	3	2	1685	3class	prior_baseline	0.0	
