feature	repeat	scope	n	mean_absolute_score_change	mean_signed_score_change	score_spearman	t95_flip_fraction	above_t95_jaccard
codon_pos2_any	2	all_variants	49704	0.024690113825594762	0.003058937861801876	0.8289250089814165	0.0871962015129567	0.8605982631071084
codon_pos2_any	2	neutral_validation	2071	0.025305851817247517	0.019920156354541304	0.810702508919291	0.05263157894736842	0.4076086956521739
codon_pos2_any	2	unlabeled_or_other	41280	0.024341064750242784	-0.000497643940612014	0.739431885886759	0.0939922480620155	0.8715954595095476
codon_pos2_any	3	all_variants	49704	0.02465061473662462	0.0031142425848217936	0.8302689395127639	0.08729679703846772	0.8603386120767349
codon_pos2_any	3	neutral_validation	2071	0.02631292861238314	0.02044869468482403	0.8087838387608435	0.06035731530661516	0.3622448979591837
codon_pos2_any	3	unlabeled_or_other	41280	0.02429838640589915	-0.00040732007451790646	0.7417855661549516	0.09416182170542636	0.8712999139129859
codon_pos2_any	4	all_variants	49704	0.024842036842376986	0.0030959861077391815	0.8284582663378485	0.08822227587316916	0.8591074125244995
codon_pos2_any	4	neutral_validation	2071	0.027063216479663064	0.02122169652901223	0.7993381635673515	0.05263157894736842	0.4076086956521739
codon_pos2_any	4	unlabeled_or_other	41280	0.024453556159829328	-0.0004692560361603226	0.7385083165595507	0.09525193798449612	0.8700165289256199
codon_pos3_any	0	all_variants	49704	0.021942965743542465	0.008963586392342663	0.9304444210635185	0.0919644294221793	0.8527478899555441
codon_pos3_any	0	neutral_validation	2071	0.04214252418853503	0.03825251945506083	0.6337663483255137	0.031385803959439885	0.577922077922078
codon_pos3_any	0	unlabeled_or_other	41280	0.01779009112394159	0.002966426356264838	0.9135707907450622	0.10530523255813953	0.8566765578635015
codon_pos3_any	1	all_variants	49704	0.021841441341822455	0.008766810636496874	0.9304859724059924	0.08932882665379044	0.8566308243727598
codon_pos3_any	1	neutral_validation	2071	0.04002885030576864	0.03610013364921809	0.645430788031698	0.025108643167551906	0.6363636363636364
codon_pos3_any	1	unlabeled_or_other	41280	0.017817556647168706	0.0028950364931289827	0.9134519231814261	0.1024951550387597	0.8602431129021603
codon_pos3_any	2	all_variants	49704	0.021745769608394604	0.008784179836431458	0.930552327156539	0.08910751649766618	0.8572027340727366
codon_pos3_any	2	neutral_validation	2071	0.040559550905217755	0.03677517471865286	0.6449163398910501	0.027522935779816515	0.62
codon_pos3_any	2	unlabeled_or_other	41280	0.01780968370721325	0.0029545141182548912	0.9130742348906499	0.10225290697674419	0.8607757767662775
codon_pos3_any	3	all_variants	49704	0.02177229672246145	0.00888395240638219	0.9310747941308901	0.08888620634154193	0.8576491815955665
codon_pos3_any	3	neutral_validation	2071	0.04160146150015457	0.03737918947550832	0.6532145523650155	0.03380009657170449	0.5569620253164557
codon_pos3_any	3	unlabeled_or_other	41280	0.01772275562986391	0.0030042337280926927	0.9139789951676378	0.10155038759689923	0.8617687792653169
codon_pos3_any	4	all_variants	49704	0.02195332790898669	0.008865606386286664	0.9301840156044585	0.08942942217930147	0.8566776294576642
codon_pos3_any	4	neutral_validation	2071	0.04237280557028667	0.038305616109208164	0.634211098020509	0.0294543698696282	0.5933333333333334
codon_pos3_any	4	unlabeled_or_other	41280	0.017914224773631512	0.002943160763602022	0.9129088492886293	0.10232558139534884	0.8606538448850328
phyloP100way	0	all_variants	49704	0.019400938713833422	0.0039566394765074885	0.9607824512326671	0.08373571543537743	0.8644829382651732
phyloP100way	0	neutral_validation	2071	0.03359841330070521	0.027575873892243374	0.8202926529567509	0.05552873008208595	0.4549763033175355
phyloP100way	0	unlabeled_or_other	41280	0.016320587063505972	-0.0009548894848852282	0.949264306203468	0.0902858527131783	0.8748825030213508
phyloP100way	1	all_variants	49704	0.019334867111143114	0.00391188731235393	0.9608444351726073	0.08116046998229519	0.8684836827176996
phyloP100way	1	neutral_validation	2071	0.03431128298988544	0.027918528400174916	0.8116245320295448	0.050700144857556736	0.4642857142857143
phyloP100way	1	unlabeled_or_other	41280	0.016220346009013415	-0.001023746538413718	0.9492927191471818	0.08742732558139535	0.8787298387096775
phyloP100way	2	all_variants	49704	0.019284810625251066	0.003870896562515611	0.9608322431416538	0.08252856912924512	0.8663800123782534
phyloP100way	2	neutral_validation	2071	0.033682721234677145	0.027204813596384908	0.8226489940219744	0.05987445678416224	0.41784037558685444
phyloP100way	2	unlabeled_or_other	41280	0.016216736531891037	-0.0009952649683562255	0.9492555550299926	0.0883236434108527	0.8774865591397849
phyloP100way	3	all_variants	49704	0.01936739522602606	0.003912515444946837	0.960675853628039	0.08118058908739739	0.8686566192506754
phyloP100way	3	neutral_validation	2071	0.034370854852533855	0.027862885866784374	0.811577633953861	0.0521487204249155	0.47058823529411764
phyloP100way	3	unlabeled_or_other	41280	0.016246353051764164	-0.0009595936904648966	0.9491663996463917	0.08752422480620155	0.8787665257365278
phyloP100way	4	all_variants	49704	0.01937651182020085	0.0039026195482349713	0.9606462055518921	0.08142201834862385	0.8678832593366415
phyloP100way	4	neutral_validation	2071	0.0342140929254327	0.027758355801145444	0.8221901815038767	0.04732013520038629	0.5
phyloP100way	4	unlabeled_or_other	41280	0.016281780587748693	-0.0009800136098242758	0.9490462866590085	0.08796027131782946	0.8778469301934398
