base_model	threshold_name	analysis_group	feature_set_baseline	feature_set_with_phyloP	n_group_baseline	n_above_threshold_baseline	n_above_threshold_with_phyloP	delta_n_above_threshold	fraction_above_threshold_baseline	fraction_above_threshold_with_phyloP	delta_fraction_above_threshold	fold_enrichment_vs_expected_baseline	fold_enrichment_vs_expected_with_phyloP	delta_fold_enrichment_vs_expected	relative_delta_fold_enrichment_percent	interpretation
isolation_forest	T95	article_pathogenic_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloPSSREV30way	84	44	54	10	0.5238095238095238	0.6428571428571429	0.11904761904761907	10.476190476190476	12.857142857142858	2.3809523809523814	22.727272727272734	better_with_phyloP
isolation_forest	T95	article_pathogenic_posthoc	codon_mod3_baseline	codon_mod3_plus_all_phyloP	84	44	70	26	0.5238095238095238	0.8333333333333334	0.30952380952380953	10.476190476190476	16.666666666666668	6.190476190476192	59.09090909090911	better_with_phyloP
isolation_forest	T95	disease_suspected_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloP30way	56	13	16	3	0.23214285714285715	0.2857142857142857	0.05357142857142855	4.642857142857142	5.7142857142857135	1.0714285714285712	23.076923076923073	better_with_phyloP
isolation_forest	T95	disease_suspected_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloP100way	56	13	21	8	0.23214285714285715	0.375	0.14285714285714285	4.642857142857142	7.5	2.8571428571428577	61.538461538461554	better_with_phyloP
isolation_forest	T95	disease_suspected_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloPSSREV30way	56	13	15	2	0.23214285714285715	0.26785714285714285	0.0357142857142857	4.642857142857142	5.357142857142857	0.7142857142857144	15.384615384615389	better_with_phyloP
isolation_forest	T95	disease_suspected_posthoc	codon_mod3_baseline	codon_mod3_plus_all_phyloP	56	13	18	5	0.23214285714285715	0.32142857142857145	0.0892857142857143	4.642857142857142	6.428571428571429	1.7857142857142865	38.46153846153848	better_with_phyloP
elliptic_envelope	T95	neutral_reference	codon_mod3_baseline	codon_mod3_plus_phyloP30way	8284	436	429	-7	0.05263157894736842	0.05178657653307581	-0.0008450024142926116	1.0526315789473684	1.035731530661516	-0.016900048285852343	-1.6055045871559728	not_primary_target_group
elliptic_envelope	T95	neutral_reference	codon_mod3_baseline	codon_mod3_plus_phyloP100way	8284	436	431	-5	0.05263157894736842	0.05202800579430227	-0.0006035731530661462	1.0526315789473684	1.0405601158860454	-0.012071463061323007	-1.1467889908256856	not_primary_target_group
elliptic_envelope	T95	neutral_reference	codon_mod3_baseline	codon_mod3_plus_phyloPSSREV30way	8284	436	445	9	0.05263157894736842	0.053718010622887495	0.001086431675519077	1.0526315789473684	1.0743602124577498	0.021728633510381457	2.064220183486239	not_primary_target_group
elliptic_envelope	T95	neutral_reference	codon_mod3_baseline	codon_mod3_plus_all_phyloP	8284	436	448	12	0.05263157894736842	0.05408015451472718	0.0014485755673587647	1.0526315789473684	1.0816030902945435	0.028971511347175127	2.752293577981637	not_primary_target_group
elliptic_envelope	T95	unlabeled_or_other	codon_mod3_baseline	codon_mod3_plus_phyloP30way	41280	15704	15113	-591	0.3804263565891473	0.366109496124031	-0.014316860465116321	7.608527131782946	7.32218992248062	-0.2863372093023262	-3.763372389200212	not_primary_target_group
elliptic_envelope	T95	unlabeled_or_other	codon_mod3_baseline	codon_mod3_plus_phyloP100way	41280	15704	14898	-806	0.3804263565891473	0.36090116279069767	-0.019525193798449636	7.608527131782946	7.218023255813953	-0.39050387596899316	-5.132450331125839	not_primary_target_group
elliptic_envelope	T95	unlabeled_or_other	codon_mod3_baseline	codon_mod3_plus_phyloPSSREV30way	41280	15704	11824	-3880	0.3804263565891473	0.2864341085271318	-0.0939922480620155	7.608527131782946	5.728682170542636	-1.8798449612403099	-24.707080998471724	not_primary_target_group
elliptic_envelope	T95	unlabeled_or_other	codon_mod3_baseline	codon_mod3_plus_all_phyloP	41280	15704	11114	-4590	0.3804263565891473	0.269234496124031	-0.11119186046511631	7.608527131782946	5.38468992248062	-2.223837209302326	-29.228222109016816	not_primary_target_group
elliptic_envelope	T95	article_pathogenic_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloP30way	84	48	34	-14	0.5714285714285714	0.40476190476190477	-0.16666666666666663	11.428571428571427	8.095238095238095	-3.333333333333332	-29.166666666666657	worse_with_phyloP
elliptic_envelope	T95	article_pathogenic_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloP100way	84	48	47	-1	0.5714285714285714	0.5595238095238095	-0.011904761904761862	11.428571428571427	11.19047619047619	-0.23809523809523725	-2.0833333333333264	worse_with_phyloP
elliptic_envelope	T95	article_pathogenic_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloPSSREV30way	84	48	46	-2	0.5714285714285714	0.5476190476190477	-0.023809523809523725	11.428571428571427	10.952380952380953	-0.4761904761904745	-4.166666666666653	worse_with_phyloP
elliptic_envelope	T95	article_pathogenic_posthoc	codon_mod3_baseline	codon_mod3_plus_all_phyloP	84	48	46	-2	0.5714285714285714	0.5476190476190477	-0.023809523809523725	11.428571428571427	10.952380952380953	-0.4761904761904745	-4.166666666666653	worse_with_phyloP
elliptic_envelope	T95	disease_suspected_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloP30way	56	18	16	-2	0.32142857142857145	0.2857142857142857	-0.035714285714285754	6.428571428571429	5.7142857142857135	-0.7142857142857153	-11.111111111111127	worse_with_phyloP
elliptic_envelope	T95	disease_suspected_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloP100way	56	18	18	0	0.32142857142857145	0.32142857142857145	0.0	6.428571428571429	6.428571428571429	0.0	0.0	no_change
elliptic_envelope	T95	disease_suspected_posthoc	codon_mod3_baseline	codon_mod3_plus_phyloPSSREV30way	56	18	18	0	0.32142857142857145	0.32142857142857145	0.0	6.428571428571429	6.428571428571429	0.0	0.0	no_change
elliptic_envelope	T95	disease_suspected_posthoc	codon_mod3_baseline	codon_mod3_plus_all_phyloP	56	18	19	1	0.32142857142857145	0.3392857142857143	0.01785714285714285	6.428571428571429	6.785714285714286	0.35714285714285676	5.55555555555555	better_with_phyloP
